place,latitude,longitude
Shahran,35.753978,51.2874715
Shahran,35.753978,51.2874715
Pardis,35.7411286,51.815509
Shahrake Qods,35.7214,51.109
Shahrake Gharb,35.6373,51.3516
North Program Organization,35.6373,51.3516
Pardis,35.7411286,51.815509
Shahran,35.753978,51.2874715
Andisheh,35.7052413,51.0296232
West Ferdows Boulevard,35.6373,51.3516
West Ferdows Boulevard,35.6373,51.3516
Narmak,35.7363694,51.5041892
Narmak,35.7363694,51.5041892
Saadat Abad,35.7860955,51.3781445
Zafar,35.7666896,51.4196929
Islamshahr,35.5478513,51.2318676
Narmak,35.7363694,51.5041892
Pirouzi,35.6909048,51.4571519
West Ferdows Boulevard,35.6373,51.3516
Pirouzi,35.6909048,51.4571519
Shahrake Gharb,35.6373,51.3516
Shahrake Shahid Bagheri,35.6373,51.3516
Shahran,35.753978,51.2874715
Moniriyeh,35.6811307,51.401641
Saadat Abad,35.7860955,51.3781445
Velenjak,35.8066647,51.4013931
Amirieh,35.6289081,51.027627
Pirouzi,35.6909048,51.4571519
Southern Janatabad,35.6373,51.3516
West Ferdows Boulevard,35.6373,51.3516
Salsabil,35.6961197,51.37395
West Ferdows Boulevard,35.6373,51.3516
Zargandeh,35.7732674,51.4329527
Feiz Garden,35.6373,51.3516
West Ferdows Boulevard,35.6373,51.3516
Water Organization,35.7164354,51.396155
West Ferdows Boulevard,35.6373,51.3516
West Ferdows Boulevard,35.6373,51.3516
West Ferdows Boulevard,35.6373,51.3516
West Ferdows Boulevard,35.6373,51.3516
Saadat Abad,35.7860955,51.3781445
Saadat Abad,35.7860955,51.3781445
Shahrake Qods,35.7214,51.109
ShahrAra,35.717269,51.3739168
Gisha,35.7369191,51.3770576
Gisha,35.7369191,51.3770576
Shahrake Gharb,35.6373,51.3516
Ray,35.5989911,51.4357865
Abbasabad,35.5866299,51.3384738
Pardis,35.7411286,51.815509
Ostad Moein,35.7001565,51.3447089
Farmanieh,35.7961378,51.4710658
Parand,35.477882,50.9469189
Punak,35.7645272,51.3332026
Punak,35.7645272,51.3332026
Shahran,35.753978,51.2874715
Qasr-od-Dasht,35.6373,51.3516
Aqdasieh,35.6373,51.3516
Pakdasht,35.4784573,51.6824624
Railway,35.6373,51.3516
Punak,35.7645272,51.3332026
Punak,35.7645272,51.3332026
Punak,35.7645272,51.3332026
Punak,35.7645272,51.3332026
Shahran,35.753978,51.2874715
Aqdasieh,35.6373,51.3516
Central Janatabad,35.6373,51.3516
West Ferdows Boulevard,35.6373,51.3516
East Ferdows Boulevard,35.6373,51.3516
Pakdasht KhatunAbad,35.5076412,51.6680495
Amirieh,35.6289081,51.027627
Amirieh,35.6289081,51.027627
Parand,35.477882,50.9469189
Punak,35.7645272,51.3332026
Sattarkhan,35.7246873,51.3585026
Saadat Abad,35.7860955,51.3781445
Shahran,35.753978,51.2874715
Amirieh,35.6289081,51.027627
Parand,35.477882,50.9469189
Punak,35.7645272,51.3332026
Sattarkhan,35.7246873,51.3585026
Saadat Abad,35.7860955,51.3781445
Shahran,35.753978,51.2874715
Baghestan,35.635564,51.1346204
West Ferdows Boulevard,35.6373,51.3516
Shahrake Qods,35.7214,51.109
Shahryar,35.8019146,51.4069631
Northern Janatabad,35.6373,51.3516
West Ferdows Boulevard,35.6373,51.3516
North Program Organization,35.6373,51.3516
Daryan No,35.7146676,51.3623258
North Program Organization,35.6373,51.3516
Pirouzi,35.6909048,51.4571519
Southern Program Organization,35.6373,51.3516
Rudhen,35.6373,51.3516
West Pars,35.74151,51.53665
Afsarieh,35.6523159,51.4930224
Marzdaran,35.7327101,51.3406203
Parand,35.477882,50.9469189
Punak,35.7645272,51.3332026
Shahrake Qods,35.7214,51.109
Dorous,35.6373,51.3516
Shahrake Qods,35.7214,51.109
Pardis,35.7411286,51.815509
Shahran,35.753978,51.2874715
Sadeghieh,35.7211465,51.3451691
Chahardangeh,35.6067482,51.3100612
